PMID,Title,Source,PubDate
39561845,Bioadhesive supramolecular polymer/hyaluronic acid hydrogel with zinc ion and dexamethasone slow release for diabetic wound healing.,Int J Biol Macromol,2024 Nov 17
39556952,Novel in situ and rapid self-gelation recombinant collagen-like protein hydrogel for wound regeneration: mediated by metal coordination crosslinking and reinforced by electro-oxidized tea polyphenols.,Biofabrication,2024 Nov 18
39556244,Therapeutic Properties of M2 Macrophages in Chronic Wounds: An Innovative Area of Biomaterial-Assisted M2 Macrophage Targeted Therapy.,Stem Cell Rev Rep,2024 Nov 18
39556003,Multi-responsive shape memory and self-healing hydrogels with gold and silver nanoparticles.,J Mater Chem B,2024 Nov 18
39554841,Multifunctional hydrogel based on polyvinyl alcohol/chitosan/metal polyphenols for facilitating acute and infected wound healing.,Mater Today Bio,2024 Dec
39552255,3D Printing-Based Hydrogel Dressings for Wound Healing.,Adv Sci (Weinh),2024 Nov 18
39551312,Construction of multifunctional hydrogel containing pH-responsive gold nanozyme for bacteria-infected wound healing.,Int J Biol Macromol,2024 Nov 16
39550986,Self-healing Ppy-hydrogel promotes diabetic skin wound healing through enhanced sterilization and macrophage orchestration triggered by NIR.,Biomaterials,2024 Nov 12
39549347,An integrally formed Janus supramolecular bio-gel with intelligent adhesion for multifunctional healthcare.,J Colloid Interface Sci,2024 Nov 10
39547617,Regulation of physicochemical properties of alginate-based hydrogels and preliminary applications in wound healing.,Int J Biol Macromol,2024 Nov 14
39547609,Self-powered chitosan/graphene oxide hydrogel band-aids with bioadhesion for promoting infected wounds healing.,Int J Biol Macromol,2024 Nov 14
39540762,"Adhesive, Stretchable, and Photothermal Antibacterial Hydrogel Dressings for Wound Healing of Infected Skin Burn at Joints.",Biomacromolecules,2024 Nov 14
39539691,The role of neuropeptides in cutaneous wound healing: a focus on mechanisms and neuropeptide-derived treatments.,Front Bioeng Biotechnol,2024
39537053,Antibacterial carboxymethyl chitosan hydrogel loaded with antioxidant cascade enzymatic system for immunoregulating the diabetic wound microenvironment.,Int J Biol Macromol,2024 Nov 12
39537051,Rapidly in situ forming antibiotic-free injectable hydrogel wound dressing for eradicating drug-resistant bacterial infections in human skin organoids.,Int J Biol Macromol,2024 Nov 12
39534378,Controlled Nitric Oxide-Releasing Nanovehicles for Enhanced Infected Wound Healing: A Study on PDA@BNN6 Encapsulated in GelMA Hydrogel.,Int J Nanomedicine,2024
39533478,Naturally Inspired Tree-Ring Structured Dressing Provides Sustained Wound Tightening and Accelerates Closure.,Adv Mater,2024 Nov 12
39532166,"Multi-functional Gleditsia sinensis galactomannan-based hydrogel with highly stretchable, adhesive, and antibacterial properties as wound dressing for accelerating wound healing.",Int J Biol Macromol,2024 Nov 10
39531904,"Hypoxic culture enhances the antimicrobial activity of amnion-derived mesenchymal stem cells, thereby reducing bacterial load and promoting wound healing in diabetic mice.",Biochem Biophys Res Commun,2024 Dec 20
39530205,Antimicrobial Peptide SAAP-148-Functionalized Hydrogels from Photocrosslinkable Polymers with Broad Antibacterial Activity.,Macromol Rapid Commun,2024 Nov 12
39528175,Licochalcone A loaded multifunctional chitosan hyaluronic acid hydrogel with antibacterial and inflammatory regulating effects to promote wound healing.,Int J Biol Macromol,2024 Nov 9
39522628,Decellularized porcine dermal hydrogel enhances implant-based wound healing in the setting of irradiation.,Acta Biomater,2024 Nov 8
39512738,In situ forming Hydrogel with adding ZnO Nano-particle for effectively methicillin-resistant Staphylococcus aureus infected frostbite injury.,Regen Ther,2024 Jun
39512002,"Pyroligneous extract, a biomaterial derived from pyrolytic palm kernel shell wood vinegar, as a novel diabetic wound healing aid: An animal study.",Drug Dev Ind Pharm,2024 Nov 7
39509859,"Procoagulant, antibacterial and antioxidant high-strength porous hydrogel adhesives in situ formed via self-gelling hemostatic microsheets for emergency hemostasis and wound repair.",Biomaterials,2024 Oct 30
39501731,Comparative evaluation of hyaluronic acid-based dressing versus hydrocolloid dressing in rat dermal wound healing.,Arch Craniofac Surg,2024 Oct
39500517,A Dry Patch with In Situ Solid-to-Gel Transformation for All-in-One Skin Wound Care.,ACS Appl Mater Interfaces,2024 Nov 20
39500150,"Development and in vitro assessment of injectable, adhesive, and self-healing chitosan-based hydrogels for treatment of spinal cord injury.",Biomater Adv,2024 Oct 29
39500101,Supramolecular nanofiber network hydrogel dressing for promoting wound healing with low swelling and mechanical stability properties.,Colloids Surf B Biointerfaces,2024 Oct 28
39499499,Reconfiguring the endogenous electric field of a wound through a conductive hydrogel for effective exudate management to enhance skin wound healing.,J Mater Chem B,2024 Nov 13
39498666,Hypericum Perforatum Callus Extract-Loaded Composite Hydrogel with Diverse Bioactivities for Enhanced Wound Healing and Fibrosis Prevention.,Small,2024 Nov 5
39493006,"Multifunctional poloxamer-based thermo-responsive hydrogel loaded with human lactoferricin niosomes: In vitro study on anti-bacterial activity, accelerate wound healing, and anti-inflammation.",Int J Pharm X,2024 Dec
39491860,Nanostructured fibrin-agarose hydrogels loaded with allogeneic fibroblasts as bio-dressings for acute treatment of massive burns.,Biomed Pharmacother,2023 Oct 27
39491139,A uniform-unsaturated crosslinking strategy to construct injectable alginate hydrogel.,Int J Biol Macromol,2023 Oct 27
39490880,Gellan gum-based multifunctional hydrogel with enduring sterilization and ROS scavenging for infected wound healing.,Int J Biol Macromol,2024 Oct 25
39489242,Fabrication of porcine acellular dermal matrix and oxidized hyaluronic acid conductive composite hydrogels for accelerating skin wound healing under electrical stimulation.,Int J Biol Macromol,2024 Nov 1
39484021,"On-demand imidazolidinyl urea-based tissue-like, self-healable, and antibacterial hydrogels for infectious wound care.",Bioact Mater,2025 Feb
39487007,"Corrigendum to ""Chitosan/rutin multifunctional hydrogel with tunable adhesion, anti-inflammatory and antibacterial properties for skin wound healing"" [Carbohydr. Polym. 343 (2024) 122492.",Carbohydr Polym,2025 Jan 1
39486988,"""Bamboo-like"" strong and tough sodium alginate/polyacrylate hydrogel fiber with directional controlled release for wound healing promotion.",Carbohydr Polym,2025 Jan 1
39486961,All-natural hydrogel composed of carboxymethyl chitosan and oxidized dextran for promoting wound healing by immune-microenvironment regulation.,Carbohydr Polym,2025 Jan 1
39486779,An advanced hydrogel dressing system with progressive delivery and layer-to-layer response for diabetic wound healing.,Acta Biomater,2024 Oct 31
39486699,"Biomimetic poly(thioctic acid)-based bioadhesive hydrogels for wet adhesion, expeditious hemostasis and enhanced wound healing.",Int J Biol Macromol,2024 Oct 30
39478872,Topical hADSCs-HA Gel Promotes Skin Regeneration and Angiogenesis in Pressure Ulcers by Paracrine Activating PPARβ/δ Pathway.,Drug Des Devel Ther,2024
39476886,Natural polysaccharides combined with mussel-inspired adhesion for multifunctional hydrogels in wound hemostasis and healing: A review.,Int J Biol Macromol,2024 Oct 28
39476684,Pyrogallol-rich supramolecular hydrogels with enzyme-sensitive microdomains for controlled topical delivery of hydrophobic drugs.,Biomater Adv,2025 Jan
39476070,Melatonin associated with bacterial cellulose-based hydrogel improves healing of skin wounds in diabetic rats.,Acta Cir Bras,2024
39473310,Exos-Loaded Gox-Modified Smart-Response Self-Healing Hydrogel Improves the Microenvironment and Promotes Wound Healing in Diabetic Wounds.,Adv Healthc Mater,2024 Oct 30
39469550,Natural biopolymer-based hydrogels: an advanced material for diabetic wound healing.,Diabetol Int,2024 Oct
39460410,Programmable Artificial Skins Accomplish Antiscar Healing with Multiple Appendage Regeneration.,Adv Mater,2024 Oct 25
39459039,Hydrogel Containing Propolis: Physical Characterization and Evaluation of Biological Activities for Potential Use in the Treatment of Skin Lesions.,Pharmaceuticals (Basel),2024 Oct 20
39458704,Fabrication and Properties of Hydrogel Dressings Based on Genipin Crosslinked Chondroitin Sulfate and Chitosan.,Polymers (Basel),2024 Oct 11
39458638,"Immortelle Essential-Oil-Enriched Hydrogel for Diabetic Wound Repair: Development, Characterization, and In Vivo Efficacy Assessment.",Pharmaceutics,2024 Oct 8
39458583,Topical Application of Centella asiatica in Wound Healing: Recent Insights into Mechanisms and Clinical Efficacy.,Pharmaceutics,2024 Sep 26
39458576,Using Hybrid MnO(2)-Au Nanoflowers to Accelerate ROS Scavenging and Wound Healing in Diabetes.,Pharmaceutics,2024 Sep 25
39457528,The Wound-Healing Effect of a Novel Fibroblasts-Impregnated Hydroxyethylcellulose Gel in a Rat Full-Thickness Burn Model: A Preclinical Study.,Biomedicines,2024 Sep 28
39454093,Evaluation effect of alginate hydrogel containing losartan on wound healing and gene expression.,J Biomater Appl,2024 Oct 25
39452585,Antibacterial Biocomposite Based on Chitosan/Pluronic/Agarose Noncovalent Hydrogel: Controlled Drug Delivery by Alginate/Tetracycline Beads System.,J Funct Biomater,2024 Sep 28
39451274,A Paintable Small-Molecule Hydrogel with Antimicrobial and ROS Scavenging Activities for Burn Wound Healing.,Gels,2024 Sep 26
39449544,Platelet Extracellular Vesicles Loaded Gelatine Hydrogels for Wound Care.,Adv Healthc Mater,2024 Oct 25
39439502,Curcumin-Loaded Nanocomposite Hydrogel Dressings for Promoting Infected Wound Healing and Tissue Regeneration.,Int J Nanomedicine,2024
39437940,Microenvironmental pH modulating oxygen self-boosting microalgal prodrug carboxymethyl chitosan/hyaluronic acid/puerarin hydrogel for accelerating wound healing in diabetic rats.,Int J Biol Macromol,2024 Oct 20
39431566,Construction and Performance Study of an Injectable Dual-Network Hydrogel Dressing with Inherent Drainage Function.,ACS Appl Mater Interfaces,2024 Oct 30
39422136,"Ionically assembled hemostatic powders with rapid self-gelation, strong acid resistance, and on-demand removability for upper gastrointestinal bleeding.",Mater Horiz,2024 Nov 25
39420797,"Asymmetric porous hydrogel encapsulating vulcanized molecular brushes with anti-bacterial adhesion, anti-infection, and pro-healing properties towards infected wound treatment.",Nanoscale,2024 Nov 13
39420416,Advancing wound healing by hydrogel-based dressings loaded with cell-conditioned medium: a systematic review.,Stem Cell Res Ther,2024 Oct 17
39419688,Drug loaded marine polysaccharides-based hydrogel dressings for treating skin burns.,Int J Biol Macromol,2024 Nov
39419158,Advances and impact of human amniotic membrane and human amniotic-based materials in wound healing application.,Int J Biol Macromol,2024 Nov
39417974,Designing injectable dermal matrix hydrogel combined with silver nanoparticles for methicillin-resistant Staphylococcus aureus infected wounds healing.,Nano Converg,2024 Oct 17
39414221,Protocatechuic acid grafted chitosan/oxidized glucomannan hydrogel with antimicrobial and anti-inflammatory effects for enhancing wound repair.,Int J Biol Macromol,2024 Nov
39414214,Spatially controllable fluid hydrogel with in-situ electrospinning PCL/chitosan fiber for treating irregular wounds.,Int J Biol Macromol,2024 Nov
39414208,Preparation and characterization of an antibacterial CMC/PCL hydrogel films containing CIP/Cur: In vitro and in vivo evaluation of wound healing activity.,Int J Biol Macromol,2024 Oct 15
39413652,In situ photocrosslinkable hydrogel treats radiation-induced skin injury by ROS elimination and inflammation regulation.,Biomaterials,2025 Mar
39410276,Design and Characterization of an Antimicrobial Biocomposite for Wound Dressings.,Materials (Basel),2024 Sep 25
39408893,Hydrogel Dressing Biomaterial Enriched with Vitamin C: Synthesis and Characterization.,Int J Mol Sci,2024 Sep 30
39408888,"Preparation, Characterization, and Wound Healing Promotion of Hydrogels Containing Glucosyloxybenzyl 2-Isobutylmalates Extract from Bletilla striata (Thunb.) Reichb.f.",Int J Mol Sci,2024 Sep 30
39408528,Advances in Smart-Response Hydrogels for Skin Wound Repair.,Polymers (Basel),2024 Oct 5
39407579,From Bioink to Tissue: Exploring Chitosan-Agarose Composite in the Context of Printability and Cellular Behaviour.,Molecules,2024 Sep 30
39406324,Photo-crosslinked hyaluronic acid hydrogels designed for simultaneous delivery of mesenchymal stem cells and tannic acid: Advancing towards scarless wound healing.,Int J Biol Macromol,2024 Nov
39402924,Enhanced wound healing with biogenic zinc oxide nanoparticle-incorporated carboxymethyl cellulose/polyvinylpyrrolidone nanocomposite hydrogels.,Biomater Sci,2024 Oct 15
39400478,Sprayable Nanocomposites Hydrogel for Wound Healing and Skin Regeneration.,Adv Healthc Mater,2024 Oct 14
39396587,Strontium ranelate-loaded human hair keratin-hyaluronic acid hydrogel accelerates wound repair with anti-inflammatory and antioxidant properties.,Int J Biol Macromol,2024 Nov
39393328,Carnosic acid ameliorates postinflammatory hyperpigmentation by inhibiting inflammatory reaction and melanin deposition.,Biomed Pharmacother,2024 Nov
39388623,Semi-Interpenetrating Hydrogel with Long-Term Intrinsic Antibacterial Properties Promotes Healing of Infected Wounds In Vivo.,ACS Appl Bio Mater,2024 Oct 21
39388509,Collaborative Enhancement of Diabetic Wound Healing and Skin Regeneration by Recombinant Human Collagen Hydrogel and hADSCs.,Adv Healthc Mater,2024 Nov
39383062,Targeting hypoxia and thrombospondin-2 in diabetic wound healing.,FASEB J,2024 Oct 15
39382540,Investigating the Effect of Polypyrrole-Gelatin/Silk Fibroin Hydrogel Mediated Pulsed Electrical Stimulation for Skin Regeneration.,ACS Appl Mater Interfaces,2024 Oct 23
39381970,An injectable hydrogel of porcine cholecyst extracellular matrix for accelerated wound healing.,J Biomed Mater Res A,2024 Oct 9
39381263,Amorphous zinc phosphate nanoclusters loaded polycarbonate thermosensitive hydrogel: An innovative strategy for promoting wound healing.,Mater Today Bio,2024 Dec
39380409,Immunomodulatory Hydrogel for Electrostatically Capturing Pro-inflammatory Factors and Chemically Scavenging Reactive Oxygen Species in Chronic Diabetic Wound Remodeling.,Adv Healthc Mater,2024 Oct 9
39378666,The interplay of skin architecture and cellular dynamics in wound healing: Insights and innovations in care strategies.,Tissue Cell,2024 Sep 30
39374716,Exploring the potential of chitosan polyherbal hydrogel loaded with AgNPs to enhance wound healing A triangular study.,Int J Biol Macromol,2024 Nov
39373076,Acellular dermal matrix hydrogels promote healing of radiation-induced skin injury in a rat model.,J Mater Chem B,2024 Nov 6
39370083,Bacterial cellulose nanofiber reinforced self-healing hydrogel to construct a theranostic platform of antibacterial and enhanced wound healing.,Int J Biol Macromol,2024 Nov
39370062,"Methacrylated hyaluronic acid/laponite photosensitive, sustained-release hydrogel loaded with bilobalide for enhancing random flap survival through mitigation of endoplasmic reticulum stress.",Int J Biol Macromol,2024 Nov
39369014,3D bioprinting of fish skin-based gelatin methacryloyl (GelMA) bio-ink for use as a potential skin substitute.,Sci Rep,2024 Oct 5
39363875,Skin organoid transplantation promotes tissue repair with scarless in frostbite.,Protein Cell,2024 Oct 4
39362446,Three-dimensional printed polyelectrolyte construct containing mupirocin-loaded quaternized chitosan nanoparticles for skin repair.,Int J Biol Macromol,2024 Nov
39360811,"Mechanical Force on Hydrogel Implication on Enhanced Drug Release, Antibacterial, and M2 Macrophage Polarization: New Insights Alleviate Diabetic Wound Healing.",ACS Appl Mater Interfaces,2024 Oct 3
39360182,A Janus Adhesive Hydrogel with Integrated Attack and Defense for Bacteria Killing and Antifouling.,BME Front,2024
39359135,Injectable Hydrogel With Glycyrrhizic Acid and Asiaticoside-Loaded Liposomes for Wound Healing.,J Cosmet Dermatol,2024 Oct 2
39355893,"DOTAGEL: a hydrogen and amide bonded, gelatin based, tunable, antibacterial, and high strength adhesive synthesized in an unoxidized environment.",J Mater Chem B,2024 Oct 30
39354172,Advancements in wound management: integrating nanotechnology and smart materials for enhanced therapeutic interventions.,Discov Nano,2024 Oct 2
39351417,Cutting-edge biomaterials for advanced biomedical uses: self-gelation of l-arginine-loaded chitosan/PVA/vanillin hydrogel for accelerating topical wound healing and skin regeneration.,RSC Adv,2024 Sep 24
39350400,"Photoresponsive Hydrogel Dressing Containing Nanoparticles with Excellent Synergetic Photodynamic, Photothermal, and Chemodynamic Therapies for Effective Infected Wound Healing.",ACS Appl Bio Mater,2024 Oct 21
39343273,Silkworm cocoon bionic design in wound dressings: A novel hydrogel with self-healing and antimicrobial properties.,Int J Biol Macromol,2024 Nov
39343255,Three-dimensional bioprinted cell-adaptive hydrogel with anisotropic micropores for enhancing skin wound healing.,Int J Biol Macromol,2024 Nov
39340818,A New Strategy to Inhibit Scar Formation by Accelerating Normal Healing Using Silicate Bioactive Materials.,Adv Sci (Weinh),2024 Nov
39339269,Exploring Cationic Guar Gum: Innovative Hydrogels and Films for Enhanced Wound Healing.,Pharmaceutics,2024 Sep 22
39339083,Insulin-Loaded Chitosan-Cellulose-Derivative Hydrogels: In Vitro Permeation of Hormone through Strat-M(®) Membrane and Rheological and Textural Analysis.,Polymers (Basel),2024 Sep 16
39337764,Optimizing Flexible Microelectrode Designs for Enhanced Efficacy in Electrical Stimulation Therapy.,Micromachines (Basel),2024 Aug 30
39337474,The Influence of N-Acetylcysteine-Enriched Hydrogels on Wound Healing in a Murine Model of Type II Diabetes Mellitus.,Int J Mol Sci,2024 Sep 16
39337435,Photo-Crosslinked Pro-Angiogenic Hydrogel Dressing for Wound Healing.,Int J Mol Sci,2024 Sep 15
39335542,The Impact of Temperature and the Duration of Freezing on a Hydrogel Used for a 3D-Bioprinted In Vitro Skin Model.,Biomedicines,2024 Sep 5
39332055,Liposomal nano-encapsulation of bFGF combined with injectable BSA hydrogel for efficient burn wound healing.,Colloids Surf B Biointerfaces,2024 Sep 25
39330309,Synthesis and Characterization of a Novel Chitosan-Based Nanoparticle-Hydrogel Composite System Promising for Skin Wound Drug Delivery.,Mar Drugs,2024 Sep 21
39330200,Computational Designed and Optimized Liposomal Curcumin-Embedded Bifunctional Cross-Linked Hydrogels for Wound Healing.,Gels,2024 Sep 18
39330147,Topical Probiotic Hydrogels for Burn Wound Healing.,Gels,2024 Aug 23
39327995,Rapid miRNA detection in skin interstitial fluid using a hydrogel microneedle patch integrated with DNA probes and graphene oxide.,Lab Chip,2024 Oct 22
39326614,4D printing of biological macromolecules employing handheld bioprinters for in situ wound healing applications.,Int J Biol Macromol,2024 Sep 24
39326590,Polyvinyl alcohol-chitosan-polyethylene glycol-glycerol incorporated with Peganum harmala loaded in lipid nanocapsules as an elastic nanocomposite surgical sealant to control bleeding.,Int J Biol Macromol,2024 Nov
39323743,Combined therapeutic strategy based on blocking the deleterious effects of AGEs for accelerating diabetic wound healing.,Regen Biomater,2024
39322165,Encapsulation of Mentha aquatica methanol extract in alginate hydrogel promotes wound healing in a murine model of Pseudomonas aeruginosa burn infection.,Int J Biol Macromol,2024 Sep 23
39321519,Skin-like dual-network gelatin/chitosan/emodin organohydrogel sensors mediated by Hofmeister effect and Schiff base reaction.,Int J Biol Macromol,2024 Nov
39319463,Rapidly Gelled Lipoic Acid-Based Supramolecular Hydrogel for 3D Printing of Adhesive Bandage.,ACS Appl Mater Interfaces,2024 Oct 9
39318637,A supramolecular hydrogel leveraging hierarchical multi-strength hydrogen-bonds hinged strategy achieving a striking adhesive-mechanical balance.,Bioact Mater,2025 Jan
39317293,"A review of polysaccharide hydrogels as materials for skin repair and wound dressing: Construction, functionalization and challenges.",Int J Biol Macromol,2024 Sep 22
39317283,Chitosan-based hydrogel dressings with antibacterial and antioxidant for wound healing.,Int J Biol Macromol,2024 Nov
39312211,Advanced approaches in skin wound healing - a review on the multifunctional properties of MXenes in therapy and sensing.,Nanoscale,2024 Oct 17
39311841,PF-PEG@ASIV-EXO Hydrogel Accelerates Diabetic Wound Healing by Ferroptosis Resistance and Promoting Angiogenesis.,ACS Biomater Sci Eng,2024 Oct 14
39308359,"Reversible Schiff Base Chemistry in Arginine-Grafted Regenerated Cellulose Hydrogel: Integration of Chitosan and Zinc Ions for Enhanced Hemostasis, Antibacterial Action, and Accelerated Wound Healing.",ACS Appl Bio Mater,2024 Oct 21
39304047,"ECM-mimetic glucomannan hydrogel promotes pressure ulcer healing by scavenging ROS, promoting angiogenesis and regulating macrophages.",Int J Biol Macromol,2024 Nov
39303388,A novel hydrogel with inherent antibacterial and hemostatic properties for burn wound healing.,Colloids Surf B Biointerfaces,2024 Sep 16
39300806,The Effect of Polynucleotide-Hyaluronic Acid Hydrogel in the Recovery After Mechanical Skin Barrier Disruption.,Skin Res Technol,2024 Sep
39303206,Carbon Dots Crosslinked Egg White Hydrogel for Tissue Engineering.,Adv Sci (Weinh),2024 Nov
39300534,Multifunctional carbomer based ferulic acid hydrogel promotes wound healing in radiation-induced skin injury by inactivating NLRP3 inflammasome.,J Nanobiotechnology,2024 Sep 19
39293622,Carboxymethyl chitosan/polyacrylamide double network hydrogels based on hydrogen bond cross-linking as potential wound dressings for skin repair.,Int J Biol Macromol,2024 Nov
39288550,Bacterial-responsive biodegradable silver nanoclusters composite hydrogel for infected wound therapy.,Colloids Surf B Biointerfaces,2024 Sep 6
39285910,An immunotherapeutic hydrogel booster inhibits tumor recurrence and promotes wound healing for postoperative management of melanoma.,Bioact Mater,2024 Dec
39285803,Radial Egg White Hydrogel Releasing Extracellular Vesicles for Cell Fate Guidance and Accelerated Diabetic Skin Regeneration.,Adv Healthc Mater,2024 Sep 17
39283032,A Skin Stress Shielding Platform Based on Body Temperature-Induced Shrinking of Hydrogel for Promoting Scar-Less Wound Healing.,Adv Sci (Weinh),2024 Nov
39280578,Dissolvable microneedle-based wound dressing transdermally and continuously delivers anti-inflammatory and pro-angiogenic exosomes for diabetic wound treatment.,Bioact Mater,2024 Dec
39279759,Flexible and antibacterial conductive hydrogels based on silk fibroin/polyaniline/AgNPs for motion sensing and wound healing promotion under electrical stimulation.,J Mater Chem B,2024 Oct 17
39279699,Trends in the Treatment of Chronic Wounds.,Curr Med Chem,2024 Sep 13
39278437,Polysaccharide- and protein-based hydrogel dressings that enhance wound healing: A review.,Int J Biol Macromol,2024 Sep 13
39278037,Construction of chitosan/carboxylated polyvinyl alcohol/poly(N-isopropylacrylamide) composite antibacterial hydrogel for rapid wound healing.,Biomater Adv,2025 Jan
39274158,Wound Dressing with Electrospun Core-Shell Nanofibers: From Material Selection to Synthesis.,Polymers (Basel),2024 Sep 5
39273706,"Correction: Piola et al. 3D Bioprinting of Gelatin-Xanthan Gum Composite Hydrogels for Growth of Human Skin Cells. Int. J. Mol. Sci. 2022, 23, 539.",Int J Mol Sci,2024 Aug 29
39271646,3D Bilayered Hydrogel and Nanofiber Multifunctional Sponge Dressing: An Efficacious Healing Agent for Chronic Wound Healing.,ACS Appl Bio Mater,2024 Oct 21
39270904,Preparation of sulfated arabinogalactan-loaded hydrogel for wound healing in mouse burn model.,Int J Biol Macromol,2024 Nov
39269914,Near-Infrared Stimuli-Responsive Hydrogel Promotes Cell Migration for Accelerated Diabetic Wound Healing.,ACS Appl Mater Interfaces,2024 Sep 25
39269428,Nanocomposite Hydrogel for Real-Time Wound Status Monitoring and Comprehensive Treatment.,Adv Sci (Weinh),2024 Nov
39267793,Energy level as a theranostic factor for successful therapy of tissue injuries with polyphosphate: the triad metabolic energy - mechanical energy - heat.,Theranostics,2024
39267781,Processed microalgae: green gold for tissue regeneration and repair.,Theranostics,2024
39265907,Hydrogel microspheres encapsulating lysozyme/MXene for photothermally enhanced antibacterial activity and infected wound healing.,Int J Biol Macromol,2024 Nov
39265900,"Highly biocompatible, antioxidant and antibacterial gelatin methacrylate/alginate - Tannin hydrogels for wound healing.",Int J Biol Macromol,2024 Nov
39263836,A gold nanoparticle-based photothermal hydrogel assisted by an N-halamine polymer for bacteria-infected skin wound healing.,Nanoscale,2024 Oct 10
39263787,"An Environmentally Stable, Biocompatible, and Multilayered Wound Dressing Film with Reversible and Strong Adhesion.",Adv Healthc Mater,2024 Sep 12
39263695,On-Demand Removable Chitosan Based Self-Healing and Antibacterial Hydrogel for Delivery of Tetracycline and Curcumin As Potential Wound Dressing Material.,ACS Appl Bio Mater,2024 Oct 21
39257958,Arginine-solubilized lipoic acid-induced β-sheets of silk fibroin-strengthened hydrogel for postoperative rehabilitation of breast cancer.,Bioact Mater,2024 Oct
39256120,Self-assembled ROS-triggered Bletilla striata polysaccharide-releasing hydrogel dressing for inflammation-regulation and enhanced tissue-healing.,Int J Biol Macromol,2024 Oct
39256119,"Blood-responsive mussel-inspired hydrogels for hemostasis, antibacterial action, and wound healing.",Int J Biol Macromol,2024 Oct
39255828,A low-swelling alginate hydrogel with antibacterial hemostatic and radical scavenging properties for open wound healing.,Biomed Mater,2024 Sep 19
39255530,Functional-hydrogel-based electronic-skin patch for accelerated healing and monitoring of skin wounds.,Biomaterials,2025 Mar
39255049,Advanced Wound Healing and Scar Reduction Using an Innovative Anti-ROS Polysaccharide Hydrogel with Recombinant Human Collagen Type III.,ACS Appl Mater Interfaces,2024 Sep 25
39251004,Rapidly molded sodium alginate/soy protein adhesive hydrogel with 808-nm laser inhibition of infected wounds.,Int J Biol Macromol,2024 Nov
