PMID	Title	Source	PubDate
37124005	Functionalized bioadhesion-enhanced carboxymethyl cellulose/polyvinyl alcohol hybrid hydrogels for chronic wound dressing applications.	RSC Adv	2023 Apr 24
37121370	A digital light processing 3D-printed artificial skin model and full-thickness wound models using silk fibroin bioink.	Acta Biomater	2023 Jul 1
37119909	Antibacterial, biocompatible, hemostatic, and tissue adhesive hydrogels based on fungal-derived carboxymethyl chitosan-reduced graphene oxide-polydopamine for wound healing applications.	Int J Biol Macromol	2023 Jun 30
37119906	An adhesive gelatin-coated small intestinal submucosa composite hydrogel dressing aids wound healing.	Int J Biol Macromol	2023 Jun 30
37119696	Bilayered skin substitute incorporating rutin nanoparticles for antioxidant, anti-inflammatory, and anti-fibrotic effect.	Biomater Adv	2023 Jul
37114495	Injectable hydrogels of recombinant human collagen type III and chitosan with antibacterial and antioxidative activities for wound healing.	J Mater Chem B	2023 May 10
37114316	Preparation of liposomal hydrogel containing Calendula and application as a wound dressing.	Cell Mol Biol (Noisy-le-grand)	2022 Nov 30
37113084	Advances in dermatological application of GelMA hydrogel microneedles.	Skin Res Technol	2023 Apr
37111605	Low Molecular Weight Hydrogel for Wound Healing.	Pharmaceutics	2023 Mar 31
37108540	Characterization and In Vivo Assay of Allantoin-Enriched Pectin Hydrogel for the Treatment of Skin Wounds.	Int J Mol Sci	2023 Apr 17
37105981	Exploiting synergistic effect of CO/NO gases for soft tissue transplantation using a hydrogel patch.	Nat Commun	2023 Apr 27
37102877	Self-Assembling Peptide SCIBIOIII Hydrogel for Three-Dimensional Cell Culture That Promotes Wound Healing in Diabetic Mice.	Gels	2023 Mar 23
37102624	An Antibacterial and Anti-Oxidative Hydrogel Dressing for Promoting Diabetic Wound Healing and Real-Time Monitoring Wound pH Conditions with a NIR Fluorescent Imaging System.	Adv Healthc Mater	2023 Sep
37100323	Interfacial assembly of chitin/Mn(3)O(4) composite hydrogels as photothermal antibacterial platform for infected wound healing.	Int J Biol Macromol	2023 Jul 15
37092190	The observation of the curative effect of silver-containing dressings combined with hydrogel on healing of immunosuppression-induced skin ulcerations.	Technol Health Care	2023
37090030	Modified gelatin hydrogel nonwoven fabrics (Genocel) as a skin substitute in murine skin defects.	Regen Ther	2023 Jun
37088191	Design and characterization of adipose-derived mesenchymal stem cell loaded alginate/pullulan/hyaluronic acid hydrogel scaffold for wound healing applications.	Int J Biol Macromol	2023 Jun 30
37088162	A self-healing hydrogel and injectable cryogel of gelatin methacryloyl-polyurethane double network for 3D printing.	Acta Biomater	2023 Jul 1
37088160	Hyaluronate- and gelatin-based hydrogels encapsulating doxycycline as a wound dressing for burn injury therapy.	Acta Biomater	2023 Jul 1
37087936	Delayed primary intention with full-thickness skin graft in distal interphalangeal injury: A rare case report.	Int J Surg Case Rep	2023 May
37085077	Design, optimization and characterization of a novel antibacterial chitosan-based hydrogel dressing for promoting blood coagulation and full-thickness wound healing: A biochemical and biophysical study.	Int J Biol Macromol	2023 Jun 30
37085062	Multifunctional thermosensitive hydrogel based on alginate and P(NIPAM-co-HEMIN) composites for accelerated diabetic wound healing.	Int J Biol Macromol	2023 Jun 30
37079862	Soy Protein Isolate/Genipin-Based Nanoparticles for the Stabilization of Pickering Emulsion to Design Self-Healing Guar Gum-Based Hydrogels.	Biomacromolecules	2023 May 8
37076129	Chitosan-based hydrogels for wound healing: correspondence.	Int J Surg	2023 Jun 1
37076070	Lactobacillus delbrueckii subsp. bulgaricus derivatives for 3D printed alginate/hyaluronic acid self-crosslinking hydrogels: Manufacturing and wound healing potential.	Int J Biol Macromol	2023 Jul 1
37075777	Topical effect of polyherbal flowers extract on xanthan gum hydrogel patch-induced wound healing activity in human cell lines and male BALB/c mice.	Biomed Mater	2023 May 3
37075773	Tannic acid-loaded chitosan-RGD-alginate scaffolds for wound healing and skin regeneration.	Biomed Mater	2023 May 17
37072464	Release systems based on self-assembling RADA16-I hydrogels with a signal sequence which improves wound healing processes.	Sci Rep	2023 Apr 18
37069775	Adhesive Composite Microspheres with Dual Antibacterial Strategies for Infected Wound Healing.	Small	2023 Aug
37065671	Preparation and characterization of 3D-printed antibacterial hydrogel with benzyl isothiocyanate.	Int J Bioprint	2023
37065662	Application of 3D-printed tissue-engineered skin substitute using innovative biomaterial loaded with human adipose-derived stem cells in wound healing.	Int J Bioprint	2023
37065657	Commercial articulated collaborative in situ 3D bioprinter for skin wound healing.	Int J Bioprint	2023
37065086	Preparation of Antibacterial, Arginine-Modified Ag Nanoclusters in the Hydrogel Used for Promoting Diabetic, Infected Wound Healing.	ACS Omega	2023 Apr 11
37060151	Bioinspired Polyacrylic Acid-Based Dressing: Wet Adhesive, Self-Healing, and Multi-Biofunctional Coacervate Hydrogel Accelerates Wound Healing.	Adv Sci (Weinh)	2023 Jun
37059558	Physical dual-network photothermal antibacterial multifunctional hydrogel adhesive for wound healing of drug-resistant bacterial infections synthesized from natural polysaccharides.	Carbohydr Polym	2023 Jul 15
37058290	Hydrogel/Nanofiber Composite Wound Dressing Optimized for Skin Layer Regeneration through the Mechanotransduction-Based Microcellular Environment.	ACS Appl Bio Mater	2023 May 15
37056919	Nanosonosensitizers-engineered injectable thermogel for augmented chemo-sonodynamic therapy of melanoma and infected wound healing.	Mater Today Bio	2023 Jun
37055835	In situ forming ROS-scavenging hybrid hydrogel loaded with polydopamine-modified fullerene nanocomposites for promoting skin wound healing.	J Nanobiotechnology	2023 Apr 13
37052392	Nematic Fibrin Fibers Enabling Vascularized Thrombus Implants Facilitate Scarless Cutaneous Wound Healing.	Adv Mater	2023 Jun
37050266	Formulation and Characterization of Polymeric Cross-Linked Hydrogel Patches for Topical Delivery of Antibiotic for Healing Wound Infections.	Polymers (Basel)	2023 Mar 27
37047818	Salvianolic-Acid-B-Loaded HA Self-Healing Hydrogel Promotes Diabetic Wound Healing through Promotion of Anti-Inflammation and Angiogenesis.	Int J Mol Sci	2023 Apr 6
37044319	Functionalized gelatin-alginate based bioink with enhanced manufacturability and biomimicry for accelerating wound healing.	Int J Biol Macromol	2023 Jun 15
37043630	Dual-Function Hydrogel Dressings with a Dynamic Exchange of Iron Ions and an Antibiotic Drug for Treatment of Infected Wounds.	ACS Appl Bio Mater	2023 May 15
37043582	Reversible adhesives with controlled wrinkling patterns for programmable integration and discharging.	Sci Adv	2023 Apr 14
37043416	TNF-R1 Cellular Nanovesicles Loaded on the Thermosensitive F-127 Hydrogel Enhance the Repair of Scalded Skin.	ACS Biomater Sci Eng	2023 Oct 9
37041794	Effective Combination Therapy with Human Amniotic Membrane Mesenchymal Stem Cells and Low-Level Laser Therapy in Wound Healing in Animal Models.	J Lasers Med Sci	2022
37036950	A pH and Temperature Dual-Responsive Microgel-Embedded, Adhesive, and Tough Hydrogel for Drug Delivery and Wound Healing.	ACS Appl Mater Interfaces	2023 Apr 19
37033324	Hyaluronic acid methacrylate/laponite hydrogel loaded with BMP4 and maintaining its bioactivity for scar-free wound healing.	Regen Biomater	2023
37030460	Injectable, self-healable and antibacterial multi-responsive tunicate cellulose nanocrystals strengthened supramolecular hydrogels for wound dressings.	Int J Biol Macromol	2023 Jun 15
37028858	Preparation and evaluation of a novel alginate-arginine-zinc ion hydrogel film for skin wound healing.	Carbohydr Polym	2023 Jul 1
37028231	Evaluation of natural protein-based nanofiber composite photocrosslinking hydrogel for skin wound regeneration.	Colloids Surf B Biointerfaces	2023 Jun
37026047	Potential benefits of using chitosan and silk fibroin topical hydrogel for managing wound healing and coagulation.	Saudi Pharm J	2023 Mar
37025923	Hybrid Hydrogel Loaded with Chlorhexidine⊂β-CD-MSN Composites as Wound Dressing.	Int J Nanomedicine	2023
37021954	Multifunctional antibiotics-free hydrogel dressings with self-regulated nitric oxide-releasing kinetics for improving open wound healing.	J Mater Chem B	2023 Apr 26
37021750	Glucose-Responsive Antioxidant Hydrogel Accelerates Diabetic Wound Healing.	Adv Healthc Mater	2023 Aug
37019198	Chitosan, alginate, hyaluronic acid and other novel multifunctional hydrogel dressings for wound healing: A review.	Int J Biol Macromol	2023 Jun 15
37006134	Nonreleasing AgNP Colloids Composite Hydrogel with Potent Hemostatic, Photodynamic Bactericidal and Wound Healing-Promoting Properties.	ACS Appl Mater Interfaces	2023 Apr 12
37004308	Regenerated silk fibroin and alginate composite hydrogel dressings loaded with curcumin nanoparticles for bacterial-infected wound closure.	Biomater Adv	2023 Jun
37003386	In vivo tests of a novel wound dressing based on agar aerogel.	Int J Biol Macromol	2023 Jun 1
36996658	Antibacterial actions of Ag nanoparticles synthesized from Cimicifuga dahurica (Turcz.) Maxim. and their application in constructing a hydrogel spray for healing skin wounds.	Food Chem	2023 Aug 30
36994997	Autophagy is the key to making chronic wounds acute in skin wound healing.	Autophagy	2023 Sep
36992511	Design of Phage-Cocktail-Containing Hydrogel for the Treatment of Pseudomonas aeruginosa-Infected Wounds.	Viruses	2023 Mar 21
36987247	Self-Healing Hydrogels Fabricated by Introducing Antibacterial Long-Chain Alkyl Quaternary Ammonium Salt into Marine-Derived Polysaccharides for Wound Healing.	Polymers (Basel)	2023 Mar 15
36986847	Nanofibrous Scaffolds for Diabetic Wound Healing.	Pharmaceutics	2023 Mar 19
36986836	New Smart Bioactive and Biomimetic Chitosan-Based Hydrogels for Wounds Care Management.	Pharmaceutics	2023 Mar 17
36986736	Status and Future Scope of Soft Nanoparticles-Based Hydrogel in Wound Healing.	Pharmaceutics	2023 Mar 8
36986719	H(2)O(2)-PLA-(Alg)(2)Ca Hydrogel Enriched in Matrigel(®) Promotes Diabetic Wound Healing.	Pharmaceutics	2023 Mar 6
36986668	Chitosan-Based Biomaterials for Tissue Regeneration.	Pharmaceutics	2023 Mar 1
36978719	Adipose Tissue-Derived Components: From Cells to Tissue Glue to Treat Dermal Damage.	Bioengineering (Basel)	2023 Mar 5
36976084	Ketoprofen-Based Polymer-Drug Nanoparticles Provide Anti-Inflammatory Properties to HA/Collagen Hydrogels.	J Funct Biomater	2023 Mar 17
36975649	Pluronic(®) F127 Hydrogel Containing Silver Nanoparticles in Skin Burn Regeneration: An Experimental Approach from Fundamental to Translational Research.	Gels	2023 Mar 6
36975634	Application of Collagen-Based Hydrogel in Skin Wound Healing.	Gels	2023 Feb 27
36975633	Fungal Carboxymethyl Chitosan-Impregnated Bacterial Cellulose Hydrogel as Wound-Dressing Agent.	Gels	2023 Feb 27
36975360	Recent Tissue Engineering Approaches to Mimicking the Extracellular Matrix Structure for Skin Regeneration.	Biomimetics (Basel)	2023 Mar 22
36970836	Moisture-Adaptive Contractile Biopolymer-Derived Fibers for Wound Healing Promotion.	Small	2023 Jul
36964439	The development of a solid lipid nanoparticle (SLN)-based lacticin 3147 hydrogel for the treatment of wound infections.	Drug Deliv Transl Res	2023 Sep
36963550	Integrated photo-inspired antibacterial polyvinyl alcohol/carboxymethyl cellulose hydrogel dressings for pH real-time monitoring and accelerated wound healing.	Int J Biol Macromol	2023 May 31
36951622	Mussel-Inspired Multifunctional Hydrogels with Adhesive, Self-Healing, Antioxidative, and Antibacterial Activity for Wound Healing.	ACS Appl Mater Interfaces	2023 Apr 5
36948335	Cell-based wound dressing: Bilayered PCL/gelatin nanofibers-alginate/collagen hydrogel scaffold loaded with mesenchymal stem cells.	Int J Biol Macromol	2023 Jun 1
36947966	Insulin modified Decellularized Adipose Tissue/Tremella Polysaccharide hydrogel loaded with ADSCs for skin wound healing.	Biochem Biophys Res Commun	2023 May 14
36943445	Supramolecular Hydrogels for Precisely Controlled Antimicrobial Peptide Delivery for Diabetic Wound Healing.	ACS Appl Mater Interfaces	2023 Apr 5
36939051	Nanocomposite conductive hydrogels with Robust elasticity and multifunctional responsiveness for flexible sensing and wound monitoring.	Mater Horiz	2023 Jun 6
36937764	Weakly acidic microenvironment of the wound bed boosting the efficacy of acidic fibroblast growth factor to promote skin regeneration.	Front Bioeng Biotechnol	2023
36937028	Adipose-derived mesenchymal stem cell-loaded β-chitin nanofiber hydrogel activates the AldoA/HIF-1α pathway to promote diabetic wound healing.	Am J Stem Cells	2023
36935633	An injectable elastic hydrogel crosslinked with curcumin-gelatin nanoparticles as a multifunctional dressing for the rapid repair of bacterially infected wounds.	Biomater Sci	2023 May 2
36934301	Bio-Inspired Antioxidant Heparin-Mimetic Peptide Hydrogel for Radiation-Induced Skin Injury Repair.	Adv Healthc Mater	2023 Aug
36926581	Palladium nanoparticle based smart hydrogels for NIR light-triggered photothermal/photodynamic therapy and drug release with wound healing capability.	Nanoscale Adv	2023 Mar 14
36925248	Facile fabrication of self-healing, injectable and antimicrobial cationic guar gum hydrogel dressings driven by hydrogen bonds.	Carbohydr Polym	2023 Jun 15
36919715	3D bioprinting of a gradient stiffened gelatin-alginate hydrogel with adipose-derived stem cells for full-thickness skin regeneration.	J Mater Chem B	2023 Mar 30
36916986	Bioinspired Adaptable Indwelling Microneedles for Treatment of Diabetic Ulcers.	Adv Mater	2023 Jun
36912458	Multifunctional conductive hyaluronic acid hydrogels for wound care and skin regeneration.	Biomater Sci	2023 Mar 28
36910992	Design Considerations, Formulation Approaches, and Strategic Advances of Hydrogel Dressings for Chronic Wound Management.	ACS Omega	2023 Mar 7
36907296	Injectable multifunctional hydrogel based on carboxymethylcellulose/polyacrylamide/polydopamine containing vitamin C and curcumin promoted full-thickness burn regeneration.	Int J Biol Macromol	2023 May 1
36902394	Pullulan-Based Hydrogels in Wound Healing and Skin Tissue Engineering Applications: A Review.	Int J Mol Sci	2023 Mar 4
36897607	A chitosan-based self-healing hydrogel for accelerating infected wound healing.	Biomater Sci	2023 Jun 13
36897423	A fabricated hydrogel of hyaluronic acid/curcumin shows super-activity to heal the bacterial infected wound.	AMB Express	2023 Mar 10
36896416	Recent progress of antibacterial hydrogels in wound dressings.	Mater Today Bio	2023 Apr
36894040	Formulation optimization of sterilized xanthones-loaded nanoemulgels and evaluation of their wound healing activities.	Int J Pharm	2023 Apr 5
36892253	Architecting Lignin/Poly(vinyl alcohol) Hydrogel with Carbon Nanotubes for Photothermal Antibacterial Therapy.	ACS Appl Bio Mater	2023 Apr 17
36878526	[Effects of three-dimensional bioprinting antibacterial hydrogel on full-thickness skin defect wounds in rats].	Zhonghua Shao Shang Yu Chuang Mian Xiu Fu Za Zhi	2023 Feb 20
36877626	Injectable Self-Healing Adhesive Natural Glycyrrhizic Acid Bioactive Hydrogel for Bacteria-Infected Wound Healing.	ACS Appl Mater Interfaces	2023 Apr 12
36876787	A sticky carbohydrate meets a mussel adhesive: Catechol-conjugated levan for hemostatic and wound healing applications.	Carbohydr Polym	2023 Jan 1
36875054	Sustained release of magnesium and zinc ions synergistically accelerates wound healing.	Bioact Mater	2023 Aug
36872061	Hyperglycemia-Suppressed SMARCA5 Disrupts Transcriptional Homeostasis to Facilitate Endothelial Dysfunction in Diabetes.	Diabetes Metab J	2023 May
36870516	Impact of licorice root on the burn healing process: A double-blinded randomized controlled clinical trial.	Complement Ther Med	2023 May
36862150	Development and evaluation of Resveratrol-loaded liposomes in hydrogel-based wound dressing for diabetic foot ulcer.	Naunyn Schmiedebergs Arch Pharmacol	2023 Aug
36861839	Protocol to assemble metal-phenolic framework nanoparticles based on polyphenol-mediated biomimetic mineralization for wound healing in rats.	STAR Protoc	2023 Mar 17
36857757	Thermosensitive PNIPAM-Based Hydrogel Crosslinked by Composite Nanoparticles as Rapid Wound-Healing Dressings.	Biomacromolecules	2023 Mar 13
36854308	Adhesive Hydrogel Patch-Mediated Combination Drug Therapy Induces Regenerative Wound Healing through Reconstruction of Regenerative Microenvironment.	Adv Healthc Mater	2023 Jul
36852226	Nanocellulose composite wound dressings for real-time pH wound monitoring.	Mater Today Bio	2023 Apr
36851964	Heparin-based sericin hydrogel-encapsulated basic fibroblast growth factor for in vitro and in vivo skin repair.	Heliyon	2023 Mar
36846525	Cross-linked chitosan/lysozyme hydrogels with inherent antibacterial activity and tuneable drug release properties for cutaneous drug administration.	Sci Technol Adv Mater	2023
36843501	The contribution of immunohistochemistry to the development of hydrogels for skin repair and regeneration.	Eur J Histochem	2023 Feb 23
36842067	Dually Crosslinked Copper-Poly(tannic acid) Nanoparticles with Microenvironment-Responsiveness for Infected Wound Treatment.	Adv Healthc Mater	2023 Jul
36840468	In Situ-Formed Fibrin Hydrogel Scaffold Loaded With Human Umbilical Cord Mesenchymal Stem Cells Promotes Skin Wound Healing.	Cell Transplant	2023 Jan-Dec
36839956	Local Drug Delivery Strategies towards Wound Healing.	Pharmaceutics	2023 Feb 13
36839847	Dendritic Polymers in Tissue Engineering: Contributions of PAMAM, PPI PEG and PEI to Injury Restoration and Bioactive Scaffold Evolution.	Pharmaceutics	2023 Feb 4
36838568	The Use of Proteins, Lipids, and Carbohydrates in the Management of Wounds.	Molecules	2023 Feb 7
36835221	Polyacrylamide Hydrogel Containing Calendula Extract as a Wound Healing Bandage: In Vivo Test.	Int J Mol Sci	2023 Feb 14
36826450	Multifunctional, Adhesive, and PDA-Coated Bioactive Glass Reinforced Composite Hydrogel for Regenerative Wound Healing.	ACS Biomater Sci Eng	2023 Mar 13
36826336	Bioengineered Water-Responsive Carboxymethyl Cellulose/Poly(vinyl alcohol) Hydrogel Hybrids for Wound Dressing and Skin Tissue Engineering Applications.	Gels	2023 Feb 18
36818381	Self-Healing Supramolecular Hydrogels with Antibacterial Abilities for Wound Healing.	J Healthc Eng	2023
36813339	Bacterial cellulose-based hydrogel with antibacterial activity and vascularization for wound healing.	Carbohydr Polym	2023 May 15
36812083	Neonatal Electroencephalogram Electrode-Related Pressure Injury Prevention Quality Improvement Study.	Adv Skin Wound Care	2023 Mar 1
36811778	The wound healing effect of botanicals and pure natural substances used in in vivo models.	Inflammopharmacology	2023 Apr
36806777	NIR regulated upconversion nanoparticles@metal-organic framework composite hydrogel dressing with catalase-like performance and enhanced antibacterial efficacy for accelerating wound healing.	Int J Biol Macromol	2023 Apr 30
36805541	Improved anti-inflammatory properties of xanthan gum hydrogel physically and chemically modified with yeast derived peptide.	Biomed Mater	2023 Mar 3
36804229	A sustained-release microcarrier effectively prolongs and enhances the antibacterial activity of lysozyme.	J Environ Sci (China)	2023 Jul
36802497	Two-Layered Biomimetic Flexible Self-Powered Electrical Stimulator for Promoting Wound Healing.	Biomacromolecules	2023 Mar 13
36801307	Bergenia stracheyi extract-based hybrid hydrogels of biocompatible polymers with good adhesive, stretching, swelling, self-healing, antibacterial, and antioxidant properties.	Int J Biol Macromol	2023 Apr 15
36798907	Targeting connexin 43 expression via scaffold mediated delivery of antisense oligodeoxynucleotide preserves neurons, enhances axonal extension, reduces astrocyte and microglial activation after spinal cord injury.	J Tissue Eng	2023 Jan-Dec
36793301	Biomedical materials for wound dressing: recent advances and applications.	RSC Adv	2023 Feb 6
36789886	Fibro-Gel: An All-Aqueous Hydrogel Consisting of Microfibers with Tunable Release Profile and its Application in Wound Healing.	Adv Mater	2023 May
36782342	Gelatin methacryloyl (GelMA) loaded with concentrated hypoxic pretreated adipose-derived mesenchymal stem cells(ADSCs) conditioned medium promotes wound healing and vascular regeneration in aged skin.	Biomater Res	2023 Feb 13
36781272	High-strength, antibacterial, antioxidant, hemostatic, and biocompatible chitin/PEGDE-tannic acid hydrogels for wound healing.	Carbohydr Polym	2023 May 1
36776018	Versatile Hydrogel Dressing with Skin Adaptiveness and Mild Photothermal Antibacterial Activity for Methicillin-Resistant Staphylococcus Aureus-Infected Dynamic Wound Healing.	Adv Sci (Weinh)	2023 Apr
36775864	Thermoresponsive Hydrogel-Enabled Thermostatic Photothermal Therapy for Enhanced Healing of Bacteria-Infected Wounds.	Adv Sci (Weinh)	2023 Apr
36771005	3D Printing of pH Indicator Auxetic Hydrogel Skin Wound Dressing.	Molecules	2023 Jan 31
36768768	A Dual-Crosslinked Hydrogel Based on Gelatin Methacryloyl and Sulfhydrylated Chitosan for Promoting Wound Healing.	Int J Mol Sci	2023 Jan 26
36764593	Porcupine-inspired microneedles coupled with an adhesive back patching as dressing for accelerating diabetic wound healing.	Acta Biomater	2023 Apr 1
36759183	Healing Wounds Efficiently with Biomimetic Soft Matter: Injectable Self-Healing Neutral Glycol Chitosan/Dibenzaldehyde-Terminated Poly(ethylene glycol) Hydrogel with Inherent Antibacterial Properties.	ACS Appl Bio Mater	2023 Feb 20
36758760	Zinc oxide loaded chitosan-elastin-sodium alginate nanocomposite gel using freeze gelation for enhanced adipose stem cell proliferation and antibacterial properties.	Int J Biol Macromol	2023 Apr 1
36737778	All-in-one smart dressing for simultaneous angiogenesis and neural regeneration.	J Nanobiotechnology	2023 Feb 3
36737195	Shape memory and antibacterial chitosan-based cryogel with hemostasis and skin wound repair.	Carbohydr Polym	2023 Apr 1
36736645	A multifunctional hydrogel loaded with two nanoagents improves the pathological microenvironment associated with radiation combined with skin wounds.	Acta Biomater	2023 Mar 15
36736644	Multi-crosslinked hydrogels with strong wet adhesion, self-healing, antibacterial property, reactive oxygen species scavenging activity, and on-demand removability for seawater-immersed wound healing.	Acta Biomater	2023 Mar 15
36731033	Separable Microneedles with Photosynthesis-Driven Oxygen Manufactory for Diabetic Wound Healing.	ACS Appl Mater Interfaces	2023 Feb 15
36718822	Sodium alginate/gelatin hydrogels loaded with adipose-derived mesenchymal stem cells promote wound healing in diabetic rats.	J Cosmet Dermatol	2023 May
36713800	Bioprinting a skin patch with dual-crosslinked gelatin (GelMA) and silk fibroin (SilMA): An approach to accelerating cutaneous wound healing.	Mater Today Bio	2023 Feb
36712958	Xenogeneic mesenchymal stem cell biocurative improves skin wounds healing in diabetic mice by increasing mast cells and the regenerative profile.	Regen Ther	2023 Mar
36709818	Multifunctional chitosan/alginate hydrogel incorporated with bioactive glass nanocomposites enabling photothermal and nitric oxide release activities for bacteria-infected wound healing.	Int J Biol Macromol	2023 Mar 31
36708881	Responsive multifunctional hydrogels emulating the chronic wounds healing cascade for skin repair.	J Control Release	2023 Feb
36708324	"Hydrogel-Encapsulated Engineered Microbial Consortium as a Photoautotrophic ""Living Material"" for Promoting Skin Wound Healing."	ACS Appl Mater Interfaces	2023 Feb 8
36708290	Injectable Intrinsic Photothermal Hydrogel Bioadhesive with On-Demand Removability for Wound Closure and MRSA-Infected Wound Healing.	Adv Healthc Mater	2023 May
36693849	A natural biological adhesive from snail mucus for wound repair.	Nat Commun	2023 Jan 24
36692869	Nanocatalytic Hydrogel with Rapid Photodisinfection and Robust Adhesion for Fortified Cutaneous Regeneration.	ACS Appl Mater Interfaces	2023 Feb 8
36683749	Injectable and biofunctionalized fibrin hydrogels co-embedded with stem cells induce hair follicle genesis.	Regen Biomater	2023
36682658	Printable hyaluronic acid hydrogel functionalized with yeast-derived peptide for skin wound healing.	Int J Biol Macromol	2023 Mar 31
36682115	Dual-crosslinked bioadhesive hydrogel as NIR/pH stimulus-responsiveness platform for effectively accelerating wound healing.	J Colloid Interface Sci	2023 May
36678665	Different Curcumin-Loaded Delivery Systems for Wound Healing Applications: A Comprehensive Review.	Pharmaceutics	2022 Dec 22
36678656	Glycyrrhizin-Based Hydrogels Accelerate Wound Healing of Normoglycemic and Diabetic Mouse Skin.	Pharmaceutics	2022 Dec 21
36678648	Thymol-Loaded Eudragit RS30D Cationic Nanoparticles-Based Hydrogels for Topical Application in Wounds: In Vitro and In Vivo Evaluation.	Pharmaceutics	2022 Dec 21
36678532	The Potential of Purple Waxy Corn Cob (Zea mays L.) Extract Loaded-Sericin Hydrogel for Anti-Hyperpigmentation, UV Protection and Anti-Aging Properties as Topical Product Applications.	Pharmaceuticals (Basel)	2022 Dec 27
36677613	Enhanced In Vivo Wound Healing Efficacy of a Novel Piperine-Containing Bioactive Hydrogel in Excision Wound Rat Model.	Molecules	2023 Jan 5
36674627	Hydrogel Formulations of Antibacterial Pyrazoles Using a Synthesized Polystyrene-Based Cationic Resin as a Gelling Agent.	Int J Mol Sci	2023 Jan 6
36662610	Hydrogel Complex Containing the Antimicrobial Peptide HX-12C Accelerates Healing of Infected Wounds.	Macromol Biosci	2023 Apr
36661818	Electron Beam Irradiation Cross-Linked Hydrogel Patches Loaded with Red Onion Peel Extract for Transdermal Drug Delivery: Formulation, Characterization, Cytocompatibility, and Skin Permeation.	Gels	2023 Jan 7
36661787	Bioprinted Hydrogels for Fibrosis and Wound Healing: Treatment and Modeling.	Gels	2022 Dec 27
36657865	Honokiol@PF127 crosslinked hyaluronate-based hydrogel for promoting wound healing by regulating macrophage polarization.	Carbohydr Polym	2023 Mar 1
36657555	The novel treatments based on tissue engineering, cell therapy and nanotechnology for cutaneous leishmaniasis.	Int J Pharm	2023 Feb 25
36654776	Advances and perspective on animal models and hydrogel biomaterials for diabetic wound healing.	Biomater Transl	2022
